Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Shadez,2018,Mumbai,LifeStyle,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,100000.0,Pre-series A,2020
Stanplus,2016,Hyderabad,Health,Ambulance service,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Pre-series A,2020
Pitstop,2016,Bangalore,Technology,Doorstep car service,Mihir Mohan mishra,TPG-backed Group Landmark,2500000.0,Series A,2020
CoreStack,2016,Chennai,Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,8500000.0,Series A,2020
Vivriti Capital,2017,Chennai,Finance,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,50000000.0,Series B,2020
Agnikul,2016,Chennai,Technology,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,pi Ventures,3148000.0,Pre-series A,2020
ZunRoof,2016,Gurgaon,Technology,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Series A,2020
FamPay,2016,Bangalore,Finance,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Pre-series A,2020
UnboxRobotics Labs,2016,Bangalore,Manufacturing,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO",500000.0,Pre-series A,2020
Karbon Card,2016,Bangalore,Finance,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Pre-series A,2020
Strata,2019,Bangalore,Technology,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000.0,Pre-series A,2020
Salesken,2016,Bangalore,Technology,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Series A,2020
Arya,2016,Noida,Agriculture,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,6000000.0,Series B,2020
Tricog,2015,Bangalore,Health,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Series B,2020
